Month,Passengers,Passengers_scaled
1949-01,112,-0.9691119691119692
1949-02,118,-0.945945945945946
1949-03,132,-0.891891891891892
1949-04,129,-0.9034749034749036
1949-05,121,-0.9343629343629345
1949-06,135,-0.8803088803088804
1949-07,148,-0.8301158301158302
1949-08,148,-0.8301158301158302
1949-09,136,-0.8764478764478765
1949-10,119,-0.9420849420849422
1949-11,104,-1.0
1949-12,118,-0.945945945945946
1950-01,115,-0.9575289575289576
1950-02,126,-0.9150579150579151
1950-03,141,-0.8571428571428572
1950-04,135,-0.8803088803088804
1950-05,125,-0.918918918918919
1950-06,149,-0.8262548262548264
1950-07,170,-0.7451737451737452
1950-08,170,-0.7451737451737452
1950-09,158,-0.7915057915057916
1950-10,133,-0.8880308880308881
1950-11,114,-0.9613899613899615
1950-12,140,-0.8610038610038611
1951-01,145,-0.8416988416988418
1951-02,150,-0.8223938223938224
1951-03,178,-0.7142857142857143
1951-04,163,-0.7722007722007723
1951-05,172,-0.7374517374517375
1951-06,178,-0.7142857142857143
1951-07,199,-0.6332046332046333
1951-08,199,-0.6332046332046333
1951-09,184,-0.6911196911196912
1951-10,162,-0.7760617760617762
1951-11,146,-0.8378378378378379
1951-12,166,-0.7606177606177607
1952-01,171,-0.7413127413127414
1952-02,180,-0.7065637065637066
1952-03,193,-0.6563706563706564
1952-04,181,-0.7027027027027027
1952-05,183,-0.694980694980695
1952-06,218,-0.55984555984556
1952-07,230,-0.5135135135135136
1952-08,242,-0.46718146718146725
1952-09,209,-0.5945945945945946
1952-10,191,-0.6640926640926642
1952-11,172,-0.7374517374517375
1952-12,194,-0.6525096525096525
1953-01,196,-0.6447876447876448
1953-02,196,-0.6447876447876448
1953-03,236,-0.49034749034749037
1953-04,235,-0.4942084942084942
1953-05,229,-0.5173745173745175
1953-06,243,-0.4633204633204634
1953-07,264,-0.38223938223938236
1953-08,272,-0.3513513513513513
1953-09,237,-0.4864864864864865
1953-10,211,-0.5868725868725869
1953-11,180,-0.7065637065637066
1953-12,201,-0.6254826254826256
1954-01,204,-0.613899613899614
1954-02,188,-0.6756756756756758
1954-03,235,-0.4942084942084942
1954-04,227,-0.5250965250965252
1954-05,234,-0.4980694980694982
1954-06,264,-0.38223938223938236
1954-07,302,-0.2355212355212355
1954-08,293,-0.2702702702702704
1954-09,259,-0.40154440154440163
1954-10,229,-0.5173745173745175
1954-11,203,-0.6177606177606179
1954-12,229,-0.5173745173745175
1955-01,242,-0.46718146718146725
1955-02,233,-0.501930501930502
1955-03,267,-0.3706563706563708
1955-04,269,-0.3629343629343631
1955-05,270,-0.35907335907335924
1955-06,315,-0.1853281853281854
1955-07,364,0.0038610038610038533
1955-08,347,-0.061776061776061875
1955-09,312,-0.19691119691119696
1955-10,274,-0.3436293436293436
1955-11,237,-0.4864864864864865
1955-12,278,-0.3281853281853282
1956-01,284,-0.3050193050193051
1956-02,277,-0.33204633204633205
1956-03,317,-0.1776061776061777
1956-04,313,-0.1930501930501931
1956-05,318,-0.17374517374517384
1956-06,374,0.042471042471042386
1956-07,413,0.1930501930501931
1956-08,405,0.16216216216216206
1956-09,355,-0.03088803088803105
1956-10,306,-0.22007722007722008
1956-11,271,-0.35521235521235517
1956-12,306,-0.22007722007722008
1957-01,315,-0.1853281853281854
1957-02,301,-0.23938223938223935
1957-03,356,-0.027027027027026973
1957-04,348,-0.05791505791505802
1957-05,355,-0.03088803088803105
1957-06,422,0.2277992277992278
1957-07,465,0.3938223938223937
1957-08,467,0.4015444015444014
1957-09,404,0.1583011583011582
1957-10,347,-0.061776061776061875
1957-11,305,-0.22393822393822393
1957-12,336,-0.10424710424710426
1958-01,340,-0.08880308880308885
1958-02,318,-0.17374517374517384
1958-03,362,-0.0038610038610038533
1958-04,348,-0.05791505791505802
1958-05,363,0.0
1958-06,435,0.2779922779922779
1958-07,491,0.4942084942084941
1958-08,505,0.5482625482625483
1958-09,404,0.1583011583011582
1958-10,359,-0.015444015444015413
1958-11,310,-0.20463320463320467
1958-12,337,-0.10038610038610041
1959-01,360,-0.01158301158301156
1959-02,342,-0.08108108108108114
1959-03,406,0.1660231660231659
1959-04,396,0.12741312741312738
1959-05,420,0.22007722007722008
1959-06,472,0.4208494208494209
1959-07,548,0.7142857142857144
1959-08,559,0.7567567567567566
1959-09,463,0.386100386100386
1959-10,407,0.16988416988416977
1959-11,362,-0.0038610038610038533
1959-12,405,0.16216216216216206
1960-01,417,0.20849420849420852
1960-02,391,0.10810810810810811
1960-03,419,0.21621621621621623
1960-04,461,0.3783783783783783
1960-05,472,0.4208494208494209
1960-06,535,0.6640926640926641
1960-07,622,1.0
1960-08,606,0.9382239382239383
1960-09,508,0.5598455598455598
1960-10,461,0.3783783783783783
1960-11,390,0.10424710424710426
1960-12,432,0.2664092664092663
